章节,八戒,天蓬元帥,豬剛鬣,悟能,总计
第1章,0,0,0,0,0
第2章,0,0,0,0,0
第3章,0,0,0,0,0
第4章,0,0,0,0,0
第5章,0,0,0,0,0
第6章,0,0,0,0,0
第7章,0,0,0,0,0
第8章,0,1,0,2,3
第9章,0,0,0,0,0
第10章,0,0,0,0,0
第11章,0,0,0,0,0
第12章,0,0,0,0,0
第13章,0,0,0,0,0
第14章,0,0,0,0,0
第15章,0,0,0,0,0
第16章,0,0,0,0,0
第17章,0,0,0,0,0
第18章,0,0,1,0,1
第19章,16,1,3,5,25
第20章,34,0,0,3,37
第21章,24,0,0,2,26
第22章,48,0,0,3,51
第23章,41,0,0,2,43
第24章,22,0,0,0,22
第25章,28,0,0,1,29
第26章,15,0,0,1,16
第27章,21,1,0,1,23
第28章,17,0,0,1,18
第29章,31,1,0,2,34
第30章,34,0,0,0,34
第31章,36,0,0,0,36
第32章,41,0,0,1,42
第33章,10,0,0,1,11
第34章,21,0,0,0,21
第35章,20,0,0,0,20
第36章,9,0,0,0,9
第37章,6,0,0,0,6
第38章,61,3,0,0,64
第39章,30,0,0,1,31
第40章,21,0,0,0,21
第41章,39,1,0,1,41
第42章,7,0,0,2,9
第43章,18,0,0,0,18
第44章,17,0,0,0,17
第45章,11,0,0,1,12
第46章,17,0,0,0,17
第47章,37,0,0,2,39
第48章,26,1,0,0,27
第49章,34,0,0,1,35
第50章,13,0,0,1,14
第51章,0,0,0,0,0
第52章,2,0,0,0,2
第53章,20,0,0,0,20
第54章,15,0,0,5,20
第55章,40,1,0,0,41
第56章,28,0,0,1,29
第57章,27,0,0,1,28
第58章,12,0,0,0,12
第59章,13,0,0,0,13
第60章,2,0,0,0,2
第61章,32,0,0,1,33
第62章,18,0,0,2,20
第63章,47,1,1,0,49
第64章,15,0,0,2,17
第65章,14,0,0,0,14
第66章,3,0,0,0,3
第67章,42,0,0,1,43
第68章,29,0,0,0,29
第69章,32,0,0,0,32
第70章,7,0,0,0,7
第71章,2,0,0,0,2
第72章,33,1,0,1,35
第73章,13,0,0,0,13
第74章,20,0,0,2,22
第75章,15,0,0,0,15
第76章,38,0,0,6,44
第77章,36,0,0,2,38
第78章,12,0,0,0,12
第79章,24,0,0,2,26
第80章,25,0,0,0,25
第81章,19,0,0,0,19
第82章,33,0,0,0,33
第83章,18,1,0,0,19
第84章,11,0,0,0,11
第85章,39,0,0,0,39
第86章,45,0,0,2,47
第87章,14,0,0,0,14
第88章,22,0,0,0,22
第89章,19,0,0,0,19
第90章,24,0,0,1,25
第91章,9,0,0,1,10
第92章,21,1,0,0,22
第93章,22,0,0,1,23
第94章,18,1,0,2,21
第95章,7,0,0,0,7
第96章,11,0,0,0,11
第97章,17,0,0,0,17
第98章,15,0,0,1,16
第99章,17,0,0,0,17
第100章,8,1,0,2,11
